account_id,customer_id,account_type,balance,transaction_id,amount,transaction_type,date,branch_id
ACC1000,CUST1000,savings,2109.5,TXN10000,4105.19,debit,2024-01-01,B003
ACC1001,CUST1001,checking,76024.89,TXN10001,3540.14,debit,2024-01-02,B004
ACC1002,CUST1002,business,59568.29,TXN10002,721.29,withdrawal,2024-01-03,B003
ACC1003,CUST1003,checking,43691.82,TXN10003,818.58,debit,2024-01-04,B004
ACC1004,CUST1004,savings,50265.87,TXN10004,4962.05,credit,2024-01-05,B001
ACC1005,CUST1005,checking,72095.75,TXN10005,967.64,withdrawal,2024-01-06,B004
ACC1006,CUST1006,checking,43746.33,TXN10006,2656.21,transfer,2024-01-07,B003
ACC1007,CUST1007,checking,32736.75,TXN10007,1939.07,credit,2024-01-08,B003
ACC1008,CUST1008,business,45530.74,TXN10008,4296.33,transfer,2024-01-09,B004
ACC1009,CUST1009,checking,33514.26,TXN10009,736.17,transfer,2024-01-10,B001
ACC1010,CUST1010,checking,21829.51,TXN10010,2482.16,debit,2024-01-11,B002
ACC1011,CUST1011,savings,6231.82,TXN10011,105.63,credit,2024-01-12,B001
ACC1012,CUST1012,checking,77515.22,TXN10012,170.17,deposit,2024-01-13,B004
ACC1013,CUST1013,business,94666.17,TXN10013,4228.58,deposit,2024-01-14,B003
ACC1014,CUST1014,savings,14603.12,TXN10014,3643.9,withdrawal,2024-01-15,B004
ACC1015,CUST1015,business,94640.51,TXN10015,2778.51,debit,2024-01-16,B001
ACC1016,CUST1016,savings,66178.41,TXN10016,445.24,debit,2024-01-17,B002
ACC1017,CUST1017,checking,80046.15,TXN10017,2787.51,debit,2024-01-18,B002
ACC1018,CUST1018,savings,62529.32,TXN10018,2453.11,credit,2024-01-19,B003
ACC1019,CUST1019,savings,79201.98,TXN10019,4630.32,transfer,2024-01-20,B001
ACC1020,CUST1020,savings,62636.05,TXN10020,3311.24,debit,2024-01-21,B002
ACC1021,CUST1021,business,18140.71,TXN10021,3970.71,withdrawal,2024-01-22,B001
ACC1022,CUST1022,savings,53238.2,TXN10022,1828.82,withdrawal,2024-01-23,B004
ACC1023,CUST1023,checking,80773.69,TXN10023,842.63,withdrawal,2024-01-24,B003
ACC1024,CUST1024,savings,4994.98,TXN10024,2800.82,debit,2024-01-25,B001
ACC1025,CUST1025,checking,20884.92,TXN10025,3708.21,transfer,2024-01-26,B001
ACC1026,CUST1026,business,93313.64,TXN10026,2518.47,deposit,2024-01-27,B002
ACC1027,CUST1027,business,21332.75,TXN10027,3157.34,withdrawal,2024-01-28,B002
ACC1028,CUST1028,savings,36631.47,TXN10028,3206.61,deposit,2024-01-29,B002
