member_id,member_name,join_date,branch,ministry,offering_amount,tithe_amount,visitor_name,visit_date
M1000,Member_0,2024-01-01,South,Women,243.33,533.96,,2024-01-01
M1001,Member_1,2024-01-02,Main,Youth,176.11,928.05,Guest,2024-01-02
M1002,Member_2,2024-01-03,East,Men,100.06,599.04,,2024-01-03
M1003,Member_3,2024-01-04,North,Women,458.8,28.27,,2024-01-04
M1004,Member_4,2024-01-05,South,Youth,435.17,581.25,,2024-01-05
M1005,Member_5,2024-01-06,North,Worship,283.45,61.12,Newcomer,2024-01-06
M1006,Member_6,2024-01-07,Main,Worship,174.03,242.52,Guest,2024-01-07
M1007,Member_7,2024-01-08,East,Outreach,149.44,940.49,Guest,2024-01-08
M1008,Member_8,2024-01-09,South,Worship,69.83,19.57,Guest,2024-01-09
M1009,Member_9,2024-01-10,Main,Youth,352.85,983.59,Guest,2024-01-10
M1010,Member_10,2024-01-11,East,Worship,27.12,142.27,Guest,2024-01-11
M1011,Member_11,2024-01-12,East,Worship,304.56,281.4,,2024-01-12
M1012,Member_12,2024-01-13,Main,Women,377.12,374.14,Newcomer,2024-01-13
M1013,Member_13,2024-01-14,Main,Women,7.72,826.53,Newcomer,2024-01-14
M1014,Member_14,2024-01-15,Main,Outreach,314.56,913.44,Guest,2024-01-15
M1015,Member_15,2024-01-16,North,Youth,316.43,774.01,,2024-01-16
M1016,Member_16,2024-01-17,North,Youth,48.2,281.07,Friend,2024-01-17
M1017,Member_17,2024-01-18,South,Youth,363.61,864.42,,2024-01-18
M1018,Member_18,2024-01-19,South,Outreach,108.64,450.54,,2024-01-19
M1019,Member_19,2024-01-20,South,Youth,225.38,75.43,,2024-01-20
M1020,Member_20,2024-01-21,North,Women,136.98,502.68,,2024-01-21
M1021,Member_21,2024-01-22,East,Men,58.24,56.54,Friend,2024-01-22
M1022,Member_22,2024-01-23,North,Outreach,394.76,418.87,,2024-01-23
M1023,Member_23,2024-01-24,North,Youth,338.38,550.11,Guest,2024-01-24
M1024,Member_24,2024-01-25,North,Women,398.49,181.48,,2024-01-25
M1025,Member_25,2024-01-26,East,Worship,227.95,64.95,Guest,2024-01-26
M1026,Member_26,2024-01-27,East,Worship,141.69,907.04,Friend,2024-01-27
M1027,Member_27,2024-01-28,East,Outreach,346.33,666.86,Guest,2024-01-28
M1028,Member_28,2024-01-29,South,Youth,182.19,425.42,Newcomer,2024-01-29
M1029,Member_29,2024-01-30,South,Men,345.03,757.74,Friend,2024-01-30
M1030,Member_30,2024-01-31,North,Outreach,71.93,346.85,Guest,2024-01-31
M1031,Member_31,2024-02-01,Main,Worship,178.05,766.08,,2024-02-01
M1032,Member_32,2024-02-02,South,Outreach,422.27,593.59,Guest,2024-02-02
M1033,Member_33,2024-02-03,East,Outreach,134.61,305.05,,2024-02-03
M1034,Member_34,2024-02-04,Main,Outreach,105.97,755.42,Friend,2024-02-04
M1035,Member_35,2024-02-05,East,Outreach,196.37,408.78,Guest,2024-02-05
M1036,Member_36,2024-02-06,South,Men,201.07,635.65,Newcomer,2024-02-06
M1037,Member_37,2024-02-07,South,Women,68.3,591.9,Newcomer,2024-02-07
M1038,Member_38,2024-02-08,East,Women,233.69,530.76,Guest,2024-02-08
M1039,Member_39,2024-02-09,Main,Men,130.33,783.26,Guest,2024-02-09
M1040,Member_40,2024-02-10,East,Outreach,495.64,147.47,Guest,2024-02-10
M1041,Member_41,2024-02-11,Main,Men,223.51,50.97,Newcomer,2024-02-11
M1042,Member_42,2024-02-12,South,Men,132.52,59.55,,2024-02-12
M1043,Member_43,2024-02-13,East,Youth,30.15,470.06,Newcomer,2024-02-13
M1044,Member_44,2024-02-14,South,Worship,405.6,162.61,Newcomer,2024-02-14
M1045,Member_45,2024-02-15,Main,Youth,225.75,734.48,Newcomer,2024-02-15
M1046,Member_46,2024-02-16,South,Men,120.65,363.42,,2024-02-16
M1047,Member_47,2024-02-17,South,Youth,118.97,441.75,,2024-02-17
M1048,Member_48,2024-02-18,East,Men,360.98,149.6,Guest,2024-02-18
M1049,Member_49,2024-02-19,Main,Women,284.92,455.27,,2024-02-19
M1050,Member_50,2024-02-20,Main,Worship,216.97,860.88,Friend,2024-02-20
M1051,Member_51,2024-02-21,North,Outreach,67.62,614.82,Newcomer,2024-02-21
M1052,Member_52,2024-02-22,East,Youth,52.38,40.93,Friend,2024-02-22
M1053,Member_53,2024-02-23,East,Outreach,186.43,594.08,Newcomer,2024-02-23
M1054,Member_54,2024-02-24,East,Women,55.67,786.88,Friend,2024-02-24
M1055,Member_55,2024-02-25,North,Outreach,8.57,601.09,,2024-02-25
M1056,Member_56,2024-02-26,South,Worship,397.62,365.51,Friend,2024-02-26
M1057,Member_57,2024-02-27,South,Outreach,88.67,719.62,Guest,2024-02-27
M1058,Member_58,2024-02-28,North,Worship,392.29,982.49,Newcomer,2024-02-28
M1059,Member_59,2024-02-29,East,Outreach,161.45,473.43,,2024-02-29
M1060,Member_60,2024-03-01,South,Youth,239.29,69.09,Newcomer,2024-03-01
M1061,Member_61,2024-03-02,North,Youth,399.78,816.06,Guest,2024-03-02
M1062,Member_62,2024-03-03,North,Youth,303.57,652.86,,2024-03-03
M1063,Member_63,2024-03-04,Main,Men,234.21,658.79,Guest,2024-03-04
M1064,Member_64,2024-03-05,North,Youth,144.43,308.64,,2024-03-05
M1065,Member_65,2024-03-06,East,Women,33.51,525.59,,2024-03-06
M1066,Member_66,2024-03-07,South,Women,370.45,631.28,Guest,2024-03-07
M1067,Member_67,2024-03-08,North,Youth,410.83,903.06,Guest,2024-03-08
M1068,Member_68,2024-03-09,East,Worship,140.06,311.17,Guest,2024-03-09
M1069,Member_69,2024-03-10,North,Youth,146.54,156.82,Newcomer,2024-03-10
M1070,Member_70,2024-03-11,Main,Men,413.17,100.58,Newcomer,2024-03-11
M1071,Member_71,2024-03-12,Main,Outreach,11.89,55.12,Newcomer,2024-03-12
M1072,Member_72,2024-03-13,North,Outreach,24.72,207.99,Guest,2024-03-13
M1073,Member_73,2024-03-14,East,Worship,422.02,424.6,Guest,2024-03-14
M1074,Member_74,2024-03-15,South,Outreach,193.19,249.81,,2024-03-15
M1075,Member_75,2024-03-16,South,Worship,190.03,820.81,Newcomer,2024-03-16
M1076,Member_76,2024-03-17,East,Worship,171.46,198.5,,2024-03-17
M1077,Member_77,2024-03-18,South,Outreach,144.16,350.15,Friend,2024-03-18
