student_id,student_name,grade,department,enrollment_date,course,score,attendance_rate,graduation_rate
S1000,Student_0,C,Medicine,2024-01-01,Biology,45.1,0.74,0.63
S1001,Student_1,D,Arts,2024-01-02,Economics,55.2,0.57,0.9
S1002,Student_2,C,Arts,2024-01-03,History,99.1,0.83,0.89
S1003,Student_3,A,Medicine,2024-01-04,History,87.8,0.58,0.71
S1004,Student_4,C,Business,2024-01-05,Biology,94.5,0.78,0.88
S1005,Student_5,A,Medicine,2024-01-06,Biology,88.2,0.83,0.72
S1006,Student_6,B,Business,2024-01-07,Math,65.1,0.71,0.79
S1007,Student_7,F,Arts,2024-01-08,Math,71.5,0.91,0.63
S1008,Student_8,C,Engineering,2024-01-09,CS,82.2,1.0,0.84
S1009,Student_9,C,Business,2024-01-10,CS,82.1,0.88,0.71
S1010,Student_10,F,Arts,2024-01-11,History,73.6,0.58,0.79
S1011,Student_11,B,Arts,2024-01-12,Biology,40.4,0.57,0.98
S1012,Student_12,F,Business,2024-01-13,Physics,98.1,0.62,0.74
S1013,Student_13,D,Arts,2024-01-14,Economics,60.7,0.68,0.98
S1014,Student_14,B,Medicine,2024-01-15,History,43.2,0.84,1.0
S1015,Student_15,B,Business,2024-01-16,Biology,78.3,0.96,0.74
S1016,Student_16,B,Medicine,2024-01-17,Economics,73.2,0.81,0.97
S1017,Student_17,C,Medicine,2024-01-18,Economics,76.4,1.0,0.8
S1018,Student_18,D,Medicine,2024-01-19,Biology,87.3,0.89,0.87
S1019,Student_19,C,Engineering,2024-01-20,History,46.1,0.71,0.89
S1020,Student_20,A,Arts,2024-01-21,Math,94.6,0.51,0.63
S1021,Student_21,F,Arts,2024-01-22,History,84.6,0.95,0.91
S1022,Student_22,B,Business,2024-01-23,Math,54.5,0.86,0.73
S1023,Student_23,F,Arts,2024-01-24,Math,74.6,0.59,0.61
S1024,Student_24,A,Business,2024-01-25,Math,94.8,0.59,0.74
S1025,Student_25,B,Engineering,2024-01-26,Economics,65.7,0.7,0.62
S1026,Student_26,D,Arts,2024-01-27,Biology,81.8,0.65,0.79
S1027,Student_27,B,Business,2024-01-28,CS,84.1,0.73,0.75
S1028,Student_28,F,Science,2024-01-29,Physics,89.6,0.88,0.98
S1029,Student_29,C,Medicine,2024-01-30,History,69.1,0.69,0.88
S1030,Student_30,C,Arts,2024-01-31,Physics,77.7,0.64,0.94
S1031,Student_31,A,Business,2024-02-01,Math,72.9,0.56,0.99
S1032,Student_32,C,Engineering,2024-02-02,Math,67.4,0.77,0.93
S1033,Student_33,B,Medicine,2024-02-03,Economics,52.2,0.64,1.0
S1034,Student_34,C,Business,2024-02-04,Economics,66.4,0.56,0.62
S1035,Student_35,F,Business,2024-02-05,History,64.4,0.63,0.92
S1036,Student_36,A,Engineering,2024-02-06,Physics,52.7,0.59,0.68
S1037,Student_37,F,Engineering,2024-02-07,Math,41.9,0.84,0.83
S1038,Student_38,B,Science,2024-02-08,CS,70.1,0.73,0.84
S1039,Student_39,C,Medicine,2024-02-09,History,75.5,0.61,0.95
S1040,Student_40,C,Engineering,2024-02-10,Biology,95.3,0.98,0.73
S1041,Student_41,C,Business,2024-02-11,Math,73.8,0.92,0.8
S1042,Student_42,F,Medicine,2024-02-12,CS,63.3,0.77,0.9
S1043,Student_43,F,Engineering,2024-02-13,Biology,40.1,0.89,0.87
S1044,Student_44,F,Science,2024-02-14,Math,45.3,0.92,0.75
S1045,Student_45,C,Business,2024-02-15,History,55.1,0.61,0.73
S1046,Student_46,D,Science,2024-02-16,History,65.9,0.89,0.78
S1047,Student_47,F,Business,2024-02-17,Biology,50.3,0.79,0.85
S1048,Student_48,F,Business,2024-02-18,CS,92.0,0.54,0.71
S1049,Student_49,F,Engineering,2024-02-19,Math,41.4,0.54,0.76
S1050,Student_50,A,Engineering,2024-02-20,Math,75.4,0.88,0.76
S1051,Student_51,A,Engineering,2024-02-21,Math,81.7,0.65,0.75
S1052,Student_52,C,Science,2024-02-22,Physics,58.6,0.93,0.72
S1053,Student_53,A,Medicine,2024-02-23,CS,73.9,0.85,0.94
S1054,Student_54,F,Arts,2024-02-24,History,86.0,0.96,0.77
S1055,Student_55,D,Engineering,2024-02-25,History,87.0,0.77,0.77
S1056,Student_56,A,Science,2024-02-26,Physics,50.7,0.98,0.72
S1057,Student_57,A,Engineering,2024-02-27,Biology,83.7,0.51,0.98
S1058,Student_58,A,Medicine,2024-02-28,CS,94.7,0.84,0.94
S1059,Student_59,B,Medicine,2024-02-29,Math,45.6,0.68,0.66
S1060,Student_60,F,Engineering,2024-03-01,Physics,60.7,0.74,0.95
S1061,Student_61,B,Medicine,2024-03-02,Physics,92.7,0.77,0.78
S1062,Student_62,D,Science,2024-03-03,Physics,53.6,0.82,0.67
S1063,Student_63,C,Business,2024-03-04,CS,51.4,0.58,0.96
S1064,Student_64,D,Business,2024-03-05,History,94.8,0.75,0.9
S1065,Student_65,A,Engineering,2024-03-06,Math,81.8,0.85,0.8
S1066,Student_66,D,Engineering,2024-03-07,History,62.3,0.59,0.82
S1067,Student_67,C,Science,2024-03-08,Economics,96.5,0.53,0.64
S1068,Student_68,A,Engineering,2024-03-09,Physics,90.2,0.91,0.66
S1069,Student_69,C,Science,2024-03-10,Physics,73.9,0.66,0.75
S1070,Student_70,D,Medicine,2024-03-11,History,88.9,0.62,0.9
S1071,Student_71,A,Arts,2024-03-12,Physics,75.5,0.64,0.91
S1072,Student_72,C,Arts,2024-03-13,History,74.6,0.97,0.8
S1073,Student_73,B,Science,2024-03-14,Math,57.8,0.82,0.88
S1074,Student_74,D,Science,2024-03-15,CS,76.4,0.97,0.83
S1075,Student_75,C,Medicine,2024-03-16,Biology,41.0,0.9,0.62
S1076,Student_76,A,Arts,2024-03-17,CS,84.3,0.94,0.9
S1077,Student_77,B,Arts,2024-03-18,Math,88.3,0.54,0.89
S1078,Student_78,C,Medicine,2024-03-19,Math,51.0,0.56,0.75
S1079,Student_79,C,Science,2024-03-20,History,58.1,0.95,0.69
S1080,Student_80,B,Science,2024-03-21,History,53.2,0.86,0.99
S1081,Student_81,C,Engineering,2024-03-22,Economics,41.8,0.89,0.74
S1082,Student_82,B,Science,2024-03-23,Economics,60.4,0.76,0.86
S1083,Student_83,A,Business,2024-03-24,CS,65.7,0.64,0.71
S1084,Student_84,D,Science,2024-03-25,CS,87.6,0.72,0.86
S1085,Student_85,C,Science,2024-03-26,CS,88.2,0.98,0.61
S1086,Student_86,C,Medicine,2024-03-27,Economics,74.4,0.92,0.63
S1087,Student_87,A,Science,2024-03-28,History,53.9,0.68,0.93
S1088,Student_88,D,Engineering,2024-03-29,Biology,84.8,0.75,0.98
S1089,Student_89,C,Medicine,2024-03-30,Biology,44.3,0.81,0.81
S1090,Student_90,F,Medicine,2024-03-31,CS,85.8,0.76,0.68
S1091,Student_91,A,Business,2024-04-01,History,58.4,0.69,0.79
S1092,Student_92,B,Medicine,2024-04-02,CS,99.0,0.78,0.65
S1093,Student_93,C,Medicine,2024-04-03,Math,56.9,0.79,0.61
S1094,Student_94,A,Business,2024-04-04,Biology,58.3,0.71,0.96
S1095,Student_95,F,Arts,2024-04-05,Physics,92.5,0.55,0.71
S1096,Student_96,B,Arts,2024-04-06,Math,55.8,0.83,0.87
S1097,Student_97,B,Medicine,2024-04-07,Math,93.8,0.92,0.92
S1098,Student_98,B,Medicine,2024-04-08,Math,41.3,0.59,0.86
S1099,Student_99,A,Science,2024-04-09,Physics,98.6,0.82,0.73
S1100,Student_100,A,Medicine,2024-04-10,Economics,90.5,0.7,0.72
S1101,Student_101,B,Business,2024-04-11,Economics,64.5,0.75,0.63
S1102,Student_102,B,Arts,2024-04-12,Math,89.6,0.82,0.89
S1103,Student_103,C,Medicine,2024-04-13,History,94.2,0.61,0.94
S1104,Student_104,D,Science,2024-04-14,Physics,91.7,0.67,0.97
S1105,Student_105,D,Science,2024-04-15,Economics,51.8,0.78,0.77
S1106,Student_106,F,Business,2024-04-16,History,41.9,0.87,0.95
S1107,Student_107,A,Science,2024-04-17,Economics,66.8,0.64,0.95
S1108,Student_108,D,Business,2024-04-18,History,98.8,0.72,0.97
S1109,Student_109,A,Business,2024-04-19,Physics,68.4,0.62,0.97
S1110,Student_110,A,Engineering,2024-04-20,Physics,64.9,0.66,0.8
S1111,Student_111,F,Engineering,2024-04-21,CS,62.7,0.68,0.83
S1112,Student_112,B,Arts,2024-04-22,Economics,76.5,0.73,0.82
S1113,Student_113,C,Engineering,2024-04-23,History,92.6,0.52,0.75
S1114,Student_114,F,Medicine,2024-04-24,Physics,90.4,0.68,0.98
S1115,Student_115,C,Business,2024-04-25,Physics,40.8,0.89,0.62
S1116,Student_116,D,Business,2024-04-26,Economics,63.4,0.65,0.72
S1117,Student_117,F,Medicine,2024-04-27,Economics,42.5,0.92,0.99
S1118,Student_118,D,Business,2024-04-28,Physics,61.0,0.66,0.61
S1119,Student_119,D,Business,2024-04-29,Economics,47.5,0.86,0.68
S1120,Student_120,A,Medicine,2024-04-30,History,47.9,0.92,0.89
S1121,Student_121,F,Medicine,2024-05-01,Economics,82.1,0.89,0.72
S1122,Student_122,C,Arts,2024-05-02,Economics,57.7,0.98,0.68
S1123,Student_123,B,Medicine,2024-05-03,Biology,58.0,0.86,0.87
S1124,Student_124,A,Science,2024-05-04,CS,76.4,0.94,0.73
S1125,Student_125,A,Medicine,2024-05-05,History,67.5,0.6,0.66
S1126,Student_126,A,Science,2024-05-06,CS,53.0,1.0,0.82
S1127,Student_127,A,Arts,2024-05-07,Physics,48.7,0.94,0.96
S1128,Student_128,B,Business,2024-05-08,History,43.2,0.57,0.98
S1129,Student_129,B,Arts,2024-05-09,CS,97.8,0.75,0.88
S1130,Student_130,F,Arts,2024-05-10,CS,69.6,0.83,0.68
S1131,Student_131,D,Medicine,2024-05-11,Economics,70.3,0.85,0.82
S1132,Student_132,D,Medicine,2024-05-12,Biology,71.0,0.53,0.78
S1133,Student_133,C,Arts,2024-05-13,Math,83.4,0.78,0.73
S1134,Student_134,F,Arts,2024-05-14,Biology,98.1,0.71,0.62
S1135,Student_135,F,Medicine,2024-05-15,Physics,55.0,0.52,0.74
S1136,Student_136,F,Business,2024-05-16,Math,40.4,0.71,0.66
S1137,Student_137,F,Arts,2024-05-17,History,72.0,0.89,0.61
S1138,Student_138,D,Science,2024-05-18,CS,82.5,0.92,0.99
S1139,Student_139,C,Science,2024-05-19,Economics,65.9,0.99,1.0
S1140,Student_140,A,Science,2024-05-20,Physics,55.3,0.65,0.66
S1141,Student_141,A,Engineering,2024-05-21,CS,71.6,0.52,0.8
S1142,Student_142,F,Medicine,2024-05-22,CS,84.6,0.84,0.89
S1143,Student_143,C,Arts,2024-05-23,Physics,67.1,0.8,0.73
S1144,Student_144,F,Arts,2024-05-24,Biology,98.1,0.57,0.76
S1145,Student_145,F,Science,2024-05-25,Biology,75.9,0.83,0.9
S1146,Student_146,A,Business,2024-05-26,Biology,71.0,0.78,0.95
S1147,Student_147,F,Medicine,2024-05-27,CS,45.2,0.72,0.85
S1148,Student_148,B,Science,2024-05-28,History,72.9,0.66,0.87
S1149,Student_149,D,Arts,2024-05-29,History,45.6,0.81,0.66
S1150,Student_150,C,Arts,2024-05-30,Math,44.1,0.67,0.81
S1151,Student_151,D,Science,2024-05-31,Biology,88.8,0.55,0.74
S1152,Student_152,C,Arts,2024-06-01,Biology,91.9,0.91,0.79
S1153,Student_153,F,Arts,2024-06-02,Math,69.8,0.53,0.69
S1154,Student_154,F,Engineering,2024-06-03,CS,55.7,0.95,0.79
S1155,Student_155,D,Science,2024-06-04,History,54.5,0.63,0.69
S1156,Student_156,C,Medicine,2024-06-05,Math,83.2,0.87,0.71
S1157,Student_157,D,Engineering,2024-06-06,Physics,40.5,0.82,0.88
