beneficiary_id,name,location,program_id,program_name,donation_amount,donor_id,donor_name,date,status
BEN1000,Beneficiary_0,Urban,PGM0,Education,3575.96,DON100,Donor_0,2024-01-01,graduated
BEN1001,Beneficiary_1,Coastal,PGM1,WASH,1004.83,DON101,Donor_1,2024-01-02,graduated
BEN1002,Beneficiary_2,Coastal,PGM2,Protection,3462.6,DON102,Donor_2,2024-01-03,active
BEN1003,Beneficiary_3,Highland,PGM3,Health,1292.63,DON103,Donor_3,2024-01-04,dropped
BEN1004,Beneficiary_4,Rural,PGM4,Livelihood,22.67,DON104,Donor_4,2024-01-05,active
BEN1005,Beneficiary_5,Rural,PGM0,Protection,2308.32,DON105,Donor_5,2024-01-06,active
BEN1006,Beneficiary_6,Urban,PGM1,Health,856.9,DON106,Donor_6,2024-01-07,graduated
BEN1007,Beneficiary_7,Urban,PGM2,WASH,1460.26,DON107,Donor_7,2024-01-08,dropped
BEN1008,Beneficiary_8,Urban,PGM3,Livelihood,1799.66,DON108,Donor_8,2024-01-09,graduated
BEN1009,Beneficiary_9,Highland,PGM4,Protection,4954.45,DON109,Donor_9,2024-01-10,graduated
BEN1010,Beneficiary_10,Rural,PGM0,Livelihood,3736.2,DON110,Donor_10,2024-01-11,active
BEN1011,Beneficiary_11,Rural,PGM1,Protection,4170.26,DON111,Donor_11,2024-01-12,active
BEN1012,Beneficiary_12,Highland,PGM2,Protection,1250.4,DON112,Donor_12,2024-01-13,graduated
BEN1013,Beneficiary_13,Urban,PGM3,WASH,2550.56,DON113,Donor_13,2024-01-14,active
BEN1014,Beneficiary_14,Rural,PGM4,WASH,2876.6,DON114,Donor_14,2024-01-15,active
BEN1015,Beneficiary_15,Highland,PGM0,Protection,2520.77,DON115,Donor_15,2024-01-16,graduated
BEN1016,Beneficiary_16,Urban,PGM1,Protection,3819.68,DON116,Donor_16,2024-01-17,active
BEN1017,Beneficiary_17,Coastal,PGM2,Education,2164.04,DON117,Donor_17,2024-01-18,dropped
BEN1018,Beneficiary_18,Rural,PGM3,Protection,547.36,DON118,Donor_18,2024-01-19,active
BEN1019,Beneficiary_19,Urban,PGM4,Education,3337.15,DON119,Donor_19,2024-01-20,active
BEN1020,Beneficiary_20,Rural,PGM0,WASH,4048.06,DON120,Donor_20,2024-01-21,dropped
BEN1021,Beneficiary_21,Highland,PGM1,Health,58.24,DON121,Donor_21,2024-01-22,graduated
BEN1022,Beneficiary_22,Highland,PGM2,Livelihood,441.68,DON122,Donor_22,2024-01-23,graduated
BEN1023,Beneficiary_23,Highland,PGM3,Livelihood,3610.12,DON123,Donor_23,2024-01-24,active
BEN1024,Beneficiary_24,Highland,PGM4,Livelihood,4000.29,DON124,Donor_24,2024-01-25,graduated
BEN1025,Beneficiary_25,Coastal,PGM0,Protection,1898.06,DON125,Donor_25,2024-01-26,active
BEN1026,Beneficiary_26,Highland,PGM1,Protection,1582.89,DON126,Donor_26,2024-01-27,dropped
BEN1027,Beneficiary_27,Highland,PGM2,WASH,2813.31,DON127,Donor_27,2024-01-28,dropped
BEN1028,Beneficiary_28,Urban,PGM3,Livelihood,1429.66,DON128,Donor_28,2024-01-29,graduated
BEN1029,Beneficiary_29,Coastal,PGM4,Livelihood,1052.83,DON129,Donor_29,2024-01-30,dropped
BEN1030,Beneficiary_30,Rural,PGM0,Protection,2559.32,DON130,Donor_30,2024-01-31,active
BEN1031,Beneficiary_31,Rural,PGM1,Protection,4413.81,DON131,Donor_31,2024-02-01,active
BEN1032,Beneficiary_32,Rural,PGM2,Health,3563.85,DON132,Donor_32,2024-02-02,active
BEN1033,Beneficiary_33,Rural,PGM3,Education,847.93,DON133,Donor_33,2024-02-03,active
BEN1034,Beneficiary_34,Rural,PGM4,Health,1749.71,DON134,Donor_34,2024-02-04,active
BEN1035,Beneficiary_35,Coastal,PGM0,WASH,3938.44,DON135,Donor_35,2024-02-05,graduated
BEN1036,Beneficiary_36,Urban,PGM1,Livelihood,4485.21,DON136,Donor_36,2024-02-06,dropped
BEN1037,Beneficiary_37,Highland,PGM2,Education,330.01,DON137,Donor_37,2024-02-07,active
BEN1038,Beneficiary_38,Coastal,PGM3,Education,1253.72,DON138,Donor_38,2024-02-08,active
BEN1039,Beneficiary_39,Urban,PGM4,Protection,4684.42,DON139,Donor_39,2024-02-09,graduated
BEN1040,Beneficiary_40,Urban,PGM0,Livelihood,2943.62,DON140,Donor_40,2024-02-10,active
BEN1041,Beneficiary_41,Coastal,PGM1,Protection,165.23,DON141,Donor_41,2024-02-11,dropped
BEN1042,Beneficiary_42,Urban,PGM2,Protection,3607.83,DON142,Donor_42,2024-02-12,active
BEN1043,Beneficiary_43,Urban,PGM3,Health,560.31,DON143,Donor_43,2024-02-13,active
BEN1044,Beneficiary_44,Rural,PGM4,WASH,4711.2,DON144,Donor_44,2024-02-14,active
BEN1045,Beneficiary_45,Coastal,PGM0,Protection,740.98,DON145,Donor_45,2024-02-15,graduated
BEN1046,Beneficiary_46,Highland,PGM1,Livelihood,3760.13,DON146,Donor_46,2024-02-16,graduated
BEN1047,Beneficiary_47,Urban,PGM2,Protection,698.91,DON147,Donor_47,2024-02-17,dropped
BEN1048,Beneficiary_48,Rural,PGM3,Protection,1873.46,DON148,Donor_48,2024-02-18,graduated
BEN1049,Beneficiary_49,Highland,PGM4,WASH,136.74,DON149,Donor_49,2024-02-19,active
BEN1050,Beneficiary_50,Highland,PGM0,Health,4454.38,DON100,Donor_0,2024-02-20,dropped
