account_id,account_number,transaction_id,loan_id,card,balance,amount,branch,date
1,ACC000001,1001,LN00001,Amex,613199,34054,Suburb,2024-01-01
2,ACC000002,1002,LN00002,Mastercard,125561,6374,Midtown,2024-01-02
3,ACC000003,1003,LN00003,Mastercard,415135,6643,Downtown,2024-01-03
4,ACC000004,1004,LN00004,Amex,827577,47534,Downtown,2024-01-04
5,ACC000005,1005,LN00005,Amex,254997,15149,Suburb,2024-01-05
6,ACC000006,1006,LN00006,Amex,9463,34852,Suburb,2024-01-06
7,ACC000007,1007,LN00007,Discover,44133,25263,Midtown,2024-01-07
8,ACC000008,1008,LN00008,Discover,609403,12426,Midtown,2024-01-08
9,ACC000009,1009,LN00009,Visa,821633,12666,Uptown,2024-01-09
10,ACC000010,1010,LN00010,Discover,724405,34494,Midtown,2024-01-10
11,ACC000011,1011,LN00011,Amex,498457,43059,Midtown,2024-01-11
12,ACC000012,1012,LN00012,Discover,721946,16312,Downtown,2024-01-12
13,ACC000013,1013,LN00013,Mastercard,625273,37367,Midtown,2024-01-13
14,ACC000014,1014,LN00014,Mastercard,162620,40991,Uptown,2024-01-14
15,ACC000015,1015,LN00015,Amex,389539,11734,Midtown,2024-01-15
16,ACC000016,1016,LN00016,Discover,808339,36606,Suburb,2024-01-16
17,ACC000017,1017,LN00017,Discover,93926,49109,Uptown,2024-01-17
18,ACC000018,1018,LN00018,Visa,260904,36588,Suburb,2024-01-18
19,ACC000019,1019,LN00019,Visa,165458,27219,Downtown,2024-01-19
20,ACC000020,1020,LN00020,Mastercard,524303,48906,Uptown,2024-01-20
21,ACC000021,1021,LN00021,Amex,95941,6924,Uptown,2024-01-21
22,ACC000022,1022,LN00022,Mastercard,719365,41862,Midtown,2024-01-22
23,ACC000023,1023,LN00023,Amex,648796,37795,Uptown,2024-01-23
24,ACC000024,1024,LN00024,Amex,354961,23469,Downtown,2024-01-24
25,ACC000025,1025,LN00025,Amex,976165,44213,Downtown,2024-01-25
26,ACC000026,1026,LN00026,Amex,796556,30072,Downtown,2024-01-26
27,ACC000027,1027,LN00027,Discover,655598,46052,Uptown,2024-01-27
28,ACC000028,1028,LN00028,Amex,63069,43607,Uptown,2024-01-28
29,ACC000029,1029,LN00029,Discover,62778,27998,Midtown,2024-01-29
30,ACC000030,1030,LN00030,Amex,372887,6832,Downtown,2024-01-30
31,ACC000031,1031,LN00031,Discover,675985,10942,Midtown,2024-01-31
32,ACC000032,1032,LN00032,Discover,161495,11832,Downtown,2024-02-01
33,ACC000033,1033,LN00033,Mastercard,735495,36052,Midtown,2024-02-02
34,ACC000034,1034,LN00034,Mastercard,562507,26326,Suburb,2024-02-03
35,ACC000035,1035,LN00035,Visa,830012,33085,Suburb,2024-02-04
36,ACC000036,1036,LN00036,Mastercard,112708,22129,Downtown,2024-02-05
37,ACC000037,1037,LN00037,Mastercard,132039,43102,Midtown,2024-02-06
38,ACC000038,1038,LN00038,Amex,511640,10376,Uptown,2024-02-07
39,ACC000039,1039,LN00039,Visa,244077,34999,Uptown,2024-02-08
40,ACC000040,1040,LN00040,Mastercard,332225,39326,Uptown,2024-02-09
41,ACC000041,1041,LN00041,Mastercard,585572,29043,Midtown,2024-02-10
42,ACC000042,1042,LN00042,Discover,826967,23099,Suburb,2024-02-11
43,ACC000043,1043,LN00043,Visa,676060,20663,Uptown,2024-02-12
44,ACC000044,1044,LN00044,Visa,793554,36060,Downtown,2024-02-13
45,ACC000045,1045,LN00045,Visa,364289,21286,Suburb,2024-02-14
46,ACC000046,1046,LN00046,Discover,844754,24371,Downtown,2024-02-15
47,ACC000047,1047,LN00047,Visa,935215,27033,Midtown,2024-02-16
48,ACC000048,1048,LN00048,Visa,460130,41510,Uptown,2024-02-17
49,ACC000049,1049,LN00049,Discover,768904,28229,Downtown,2024-02-18
50,ACC000050,1050,LN00050,Visa,202438,47580,Midtown,2024-02-19
51,ACC000051,1051,LN00051,Visa,22490,21207,Uptown,2024-02-20
