student_id,student_name,teacher,course,department,attendance,exam,grade,fee,enrollment_date
1,Student 001,Teacher 01,Science,Science,69,Exam-001,A,3783,2024-01-01
2,Student 002,Teacher 02,Math,Science,70,Exam-002,C,2130,2024-01-02
3,Student 003,Teacher 03,History,Science,71,Exam-003,C,1254,2024-01-03
4,Student 004,Teacher 04,English,Engineering,99,Exam-004,C,893,2024-01-04
5,Student 005,Teacher 05,History,Arts,70,Exam-005,D,514,2024-01-05
6,Student 006,Teacher 06,Math,Arts,88,Exam-006,F,2477,2024-01-06
7,Student 007,Teacher 07,Science,Business,62,Exam-007,D,3246,2024-01-07
8,Student 008,Teacher 08,Math,Engineering,86,Exam-008,B,3525,2024-01-08
9,Student 009,Teacher 09,Math,Arts,83,Exam-009,D,2133,2024-01-09
10,Student 010,Teacher 10,English,Engineering,75,Exam-010,C,1408,2024-01-10
11,Student 011,Teacher 11,History,Engineering,88,Exam-011,D,2782,2024-01-11
12,Student 012,Teacher 12,Math,Arts,99,Exam-012,A,4832,2024-01-12
13,Student 013,Teacher 13,Math,Business,78,Exam-013,C,2661,2024-01-13
14,Student 014,Teacher 14,Science,Business,88,Exam-014,F,1655,2024-01-14
15,Student 015,Teacher 15,Art,Business,74,Exam-015,D,1405,2024-01-15
16,Student 016,Teacher 16,Science,Science,94,Exam-016,C,4181,2024-01-16
17,Student 017,Teacher 17,History,Arts,75,Exam-017,A,4316,2024-01-17
18,Student 018,Teacher 18,History,Science,79,Exam-018,A,3924,2024-01-18
19,Student 019,Teacher 19,English,Science,90,Exam-019,D,4185,2024-01-19
20,Student 020,Teacher 20,Art,Science,72,Exam-020,C,2627,2024-01-20
21,Student 021,Teacher 01,History,Engineering,83,Exam-021,F,4174,2024-01-21
22,Student 022,Teacher 02,Art,Engineering,96,Exam-022,B,289,2024-01-22
23,Student 023,Teacher 03,Science,Arts,88,Exam-023,A,837,2024-01-23
24,Student 024,Teacher 04,History,Arts,89,Exam-024,B,3321,2024-01-24
25,Student 025,Teacher 05,Math,Engineering,78,Exam-025,F,4240,2024-01-25
26,Student 026,Teacher 06,History,Engineering,84,Exam-026,D,3845,2024-01-26
27,Student 027,Teacher 07,Art,Science,92,Exam-027,A,2072,2024-01-27
28,Student 028,Teacher 08,History,Business,93,Exam-028,B,1862,2024-01-28
29,Student 029,Teacher 09,English,Business,86,Exam-029,A,4878,2024-01-29
30,Student 030,Teacher 10,Math,Business,70,Exam-030,B,2990,2024-01-30
31,Student 031,Teacher 11,English,Business,72,Exam-031,C,498,2024-01-31
32,Student 032,Teacher 12,Science,Business,98,Exam-032,C,514,2024-02-01
33,Student 033,Teacher 13,History,Science,68,Exam-033,D,2404,2024-02-02
34,Student 034,Teacher 14,History,Arts,76,Exam-034,F,4154,2024-02-03
35,Student 035,Teacher 15,Science,Engineering,63,Exam-035,A,4994,2024-02-04
36,Student 036,Teacher 16,English,Science,90,Exam-036,F,3955,2024-02-05
37,Student 037,Teacher 17,Math,Business,83,Exam-037,B,2440,2024-02-06
38,Student 038,Teacher 18,English,Engineering,95,Exam-038,D,4496,2024-02-07
39,Student 039,Teacher 19,Art,Science,66,Exam-039,C,166,2024-02-08
40,Student 040,Teacher 20,English,Business,93,Exam-040,C,980,2024-02-09
