subscriber_id,phone_number,call_id,plan,data_usage,minutes,sms,date
1,+12345670001,1001,Business,42681,32,91,2024-01-01
2,+12345670002,1002,Basic,2498,361,110,2024-01-02
3,+12345670003,1003,Family,13679,679,365,2024-01-03
4,+12345670004,1004,Family,14486,1770,17,2024-01-04
5,+12345670005,1005,Family,13403,1873,457,2024-01-05
6,+12345670006,1006,Family,29727,851,345,2024-01-06
7,+12345670007,1007,Business,15460,810,272,2024-01-07
8,+12345670008,1008,Business,26045,331,110,2024-01-08
9,+12345670009,1009,Basic,14425,236,226,2024-01-09
10,+12345670010,1010,Unlimited,20153,274,356,2024-01-10
11,+12345670011,1011,Basic,27954,1108,24,2024-01-11
12,+12345670012,1012,Family,24812,866,428,2024-01-12
13,+12345670013,1013,Business,37545,989,325,2024-01-13
14,+12345670014,1014,Unlimited,10402,1531,415,2024-01-14
15,+12345670015,1015,Business,24617,150,267,2024-01-15
16,+12345670016,1016,Premium,16780,806,328,2024-01-16
17,+12345670017,1017,Basic,36180,1966,339,2024-01-17
18,+12345670018,1018,Basic,5654,1860,366,2024-01-18
19,+12345670019,1019,Basic,8903,1782,337,2024-01-19
20,+12345670020,1020,Business,49358,432,459,2024-01-20
21,+12345670021,1021,Basic,5606,276,52,2024-01-21
22,+12345670022,1022,Business,19436,1792,199,2024-01-22
23,+12345670023,1023,Premium,29231,431,353,2024-01-23
24,+12345670024,1024,Business,34101,644,157,2024-01-24
25,+12345670025,1025,Premium,23140,895,227,2024-01-25
26,+12345670026,1026,Business,15184,1685,26,2024-01-26
27,+12345670027,1027,Unlimited,38370,1463,306,2024-01-27
28,+12345670028,1028,Unlimited,2796,1371,2,2024-01-28
29,+12345670029,1029,Family,30590,982,24,2024-01-29
30,+12345670030,1030,Family,33671,335,395,2024-01-30
31,+12345670031,1031,Business,40806,1246,193,2024-01-31
32,+12345670032,1032,Family,22144,1187,392,2024-02-01
33,+12345670033,1033,Premium,28025,1933,103,2024-02-02
34,+12345670034,1034,Premium,29666,645,475,2024-02-03
35,+12345670035,1035,Premium,30741,1213,127,2024-02-04
36,+12345670036,1036,Basic,28444,425,191,2024-02-05
37,+12345670037,1037,Basic,26901,1039,465,2024-02-06
38,+12345670038,1038,Premium,24185,1477,122,2024-02-07
39,+12345670039,1039,Unlimited,32706,1412,102,2024-02-08
40,+12345670040,1040,Business,20876,949,46,2024-02-09
41,+12345670041,1041,Family,17992,574,8,2024-02-10
42,+12345670042,1042,Business,25159,423,215,2024-02-11
43,+12345670043,1043,Unlimited,1719,25,14,2024-02-12
44,+12345670044,1044,Unlimited,11868,302,7,2024-02-13
45,+12345670045,1045,Business,29046,922,172,2024-02-14
46,+12345670046,1046,Business,15421,141,420,2024-02-15
47,+12345670047,1047,Premium,17507,1698,98,2024-02-16
48,+12345670048,1048,Premium,42393,827,348,2024-02-17
49,+12345670049,1049,Family,5073,1248,342,2024-02-18
50,+12345670050,1050,Unlimited,23633,1663,32,2024-02-19
51,+12345670051,1051,Business,5501,515,112,2024-02-20
52,+12345670052,1052,Unlimited,19401,1086,490,2024-02-21
53,+12345670053,1053,Unlimited,32983,683,451,2024-02-22
54,+12345670054,1054,Unlimited,33706,1874,49,2024-02-23
55,+12345670055,1055,Basic,35925,1175,408,2024-02-24
56,+12345670056,1056,Business,42282,1810,427,2024-02-25
57,+12345670057,1057,Business,5222,1015,425,2024-02-26
58,+12345670058,1058,Premium,18215,952,340,2024-02-27
59,+12345670059,1059,Basic,15025,957,85,2024-02-28
60,+12345670060,1060,Premium,6549,1189,370,2024-02-29
61,+12345670061,1061,Business,7871,90,85,2024-03-01
62,+12345670062,1062,Business,4775,1519,22,2024-03-02
63,+12345670063,1063,Basic,23708,196,212,2024-03-03
64,+12345670064,1064,Family,2608,599,262,2024-03-04
65,+12345670065,1065,Unlimited,35884,1333,55,2024-03-05
66,+12345670066,1066,Premium,13227,1814,417,2024-03-06
67,+12345670067,1067,Premium,21973,1891,167,2024-03-07
68,+12345670068,1068,Premium,12987,944,165,2024-03-08
69,+12345670069,1069,Basic,44343,720,287,2024-03-09
70,+12345670070,1070,Unlimited,21677,1444,320,2024-03-10
71,+12345670071,1071,Premium,16485,1735,97,2024-03-11
72,+12345670072,1072,Family,19938,1467,319,2024-03-12
73,+12345670073,1073,Family,48938,1632,106,2024-03-13
74,+12345670074,1074,Business,44896,619,478,2024-03-14
75,+12345670075,1075,Unlimited,18087,810,277,2024-03-15
76,+12345670076,1076,Business,12593,1265,202,2024-03-16
77,+12345670077,1077,Business,46344,1696,480,2024-03-17
78,+12345670078,1078,Unlimited,39685,1668,219,2024-03-18
79,+12345670079,1079,Business,9135,1750,61,2024-03-19
80,+12345670080,1080,Unlimited,49408,368,118,2024-03-20
81,+12345670081,1081,Family,47035,860,109,2024-03-21
82,+12345670082,1082,Unlimited,48584,520,54,2024-03-22
83,+12345670083,1083,Premium,35694,377,182,2024-03-23
84,+12345670084,1084,Basic,17213,1853,165,2024-03-24
85,+12345670085,1085,Family,659,1275,88,2024-03-25
86,+12345670086,1086,Basic,19726,1511,7,2024-03-26
87,+12345670087,1087,Family,18571,894,205,2024-03-27
88,+12345670088,1088,Premium,22816,947,334,2024-03-28
89,+12345670089,1089,Basic,26564,797,161,2024-03-29
90,+12345670090,1090,Premium,26691,1875,6,2024-03-30
91,+12345670091,1091,Premium,38107,1359,199,2024-03-31
92,+12345670092,1092,Family,49763,385,108,2024-04-01
93,+12345670093,1093,Business,43046,1440,234,2024-04-02
94,+12345670094,1094,Premium,879,1174,112,2024-04-03
95,+12345670095,1095,Premium,31033,205,33,2024-04-04
96,+12345670096,1096,Family,42966,815,336,2024-04-05
97,+12345670097,1097,Unlimited,33696,1440,417,2024-04-06
98,+12345670098,1098,Family,49983,1946,142,2024-04-07
99,+12345670099,1099,Premium,9883,99,332,2024-04-08
100,+12345670100,1100,Family,26150,500,319,2024-04-09
101,+12345670101,1101,Premium,15014,1823,188,2024-04-10
102,+12345670102,1102,Basic,14971,1792,22,2024-04-11
103,+12345670103,1103,Unlimited,47504,333,34,2024-04-12
104,+12345670104,1104,Basic,49195,570,453,2024-04-13
105,+12345670105,1105,Basic,13854,1817,111,2024-04-14
106,+12345670106,1106,Unlimited,31192,1296,210,2024-04-15
107,+12345670107,1107,Basic,15417,1111,154,2024-04-16
108,+12345670108,1108,Business,33905,607,392,2024-04-17
109,+12345670109,1109,Basic,38569,1375,306,2024-04-18
110,+12345670110,1110,Premium,36316,1886,255,2024-04-19
